"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3250","When the user selects the first locality","","Wed Apr 02 15:19:35 IST 2025","passed","Wed Apr 02 15:19:39 IST 2025","","Referral: referral","",""
"","4993","Then the user enters name in the ""Enter Lead Name"" field","","Wed Apr 02 15:18:57 IST 2025","passed","Wed Apr 02 15:19:02 IST 2025","","Referral: referral","",""
"","12050","Then the user enters the OTP","","Wed Apr 02 15:18:25 IST 2025","passed","Wed Apr 02 15:18:37 IST 2025","","Referral: referral","",""
"","13417","Then the user clicks on the search field and searches for the city","","Wed Apr 02 15:19:11 IST 2025","passed","Wed Apr 02 15:19:24 IST 2025","","Referral: referral","",""
"","5228","When The user punch in","","Wed Apr 02 15:18:42 IST 2025","passed","Wed Apr 02 15:18:47 IST 2025","","Referral: referral","",""
"","3220","Then the user clicks on the ""Enter City Preference"" component","","Wed Apr 02 15:19:07 IST 2025","passed","Wed Apr 02 15:19:11 IST 2025","","Referral: referral","",""
"","177","Then the user fetches the list of cities from the bottom sheet","","Wed Apr 02 15:19:11 IST 2025","passed","Wed Apr 02 15:19:11 IST 2025","","Referral: referral","",""
"","5133","Given I am on the Hotline dashboard","","Wed Apr 02 15:18:37 IST 2025","passed","Wed Apr 02 15:18:42 IST 2025","","Referral: referral","",""
"","3152","Then the user verifies if the title ""Refer a Lead"" is present","","Wed Apr 02 15:18:54 IST 2025","passed","Wed Apr 02 15:18:57 IST 2025","","Referral: referral","",""
"","6858","When the user clicks on 'Refer a Lead button'","","Wed Apr 02 15:18:47 IST 2025","passed","Wed Apr 02 15:18:54 IST 2025","","Referral: referral","",""
"","7395","Given the user enters the mobile number","","Wed Apr 02 15:18:12 IST 2025","passed","Wed Apr 02 15:18:20 IST 2025","","Referral: referral","",""
"","5167","When the user clicks on the Request OTP button","","Wed Apr 02 15:18:20 IST 2025","passed","Wed Apr 02 15:18:25 IST 2025","","Referral: referral","",""
"","5061","Then the user enters phone number","","Wed Apr 02 15:19:02 IST 2025","passed","Wed Apr 02 15:19:07 IST 2025","","Referral: referral","",""
"","4103","When the user clicks on the Enter Client Preference field","","Wed Apr 02 15:19:25 IST 2025","passed","Wed Apr 02 15:19:29 IST 2025","","Referral: referral","",""
"","3239","When the user fetches the list of clients","","Wed Apr 02 15:19:29 IST 2025","passed","Wed Apr 02 15:19:32 IST 2025","","Referral: referral","",""
"","3808","When the user clicks on the Submit button","","Wed Apr 02 15:19:39 IST 2025","passed","Wed Apr 02 15:19:42 IST 2025","","Referral: referral","",""
"","1","hook:","","Wed Apr 02 15:19:42 IST 2025","failed","Wed Apr 02 15:19:42 IST 2025","","","",""
"","273","Then the user selects the city","","Wed Apr 02 15:19:24 IST 2025","passed","Wed Apr 02 15:19:25 IST 2025","","Referral: referral","",""
"","3428","When the user clicks on the bottom sheet field","","Wed Apr 02 15:19:32 IST 2025","passed","Wed Apr 02 15:19:35 IST 2025","","Referral: referral","",""
